"card_id","img","position","nationality","event","league","team","weight","height","salary","overall","deking","hand_eye","passing","puck_control","slap_shot_accuracy","slap_shot_power","wrist_shot_accuracy","wrist_shot_power","acceleration","agility","balance","endurance","speed","discipline","off_awareness","def_awareness","faceoffs","shot_blocking","stick_checking","aggression","body_checking","durability","fighting_skill","strength","POS","player_id"
"40cbebc7-24ba-40d8-bdc0-221e687aef90","40cbebc7-24ba-40d8-bdc0-221e687aef90.jpg","RD","USA","ICON","NHLAA","CHI",86.5,183,7,86,78,83,86,85,86,89,81,85,87,85,83,82,87,73,87,92,53,89,86,85,88,81,75,91,"DEF",279
"023c779f-1c1b-421e-926d-ef12f977e3e8","023c779f-1c1b-421e-926d-ef12f977e3e8.jpg","LD","Canada","ICON","NHLAA","STL",99.7,198,7,86,72,73,85,85,84,91,84,90,83,77,87,83,84,71,83,92,53,91,89,88,90,84,77,93,"DEF",285
"4a5ff003-071f-4209-8f1b-d07122806846","4a5ff003-071f-4209-8f1b-d07122806846.jpg","LD","Slovakia","HH","NHLAA","BOS",113.3,206,5,84,75,76,83,84,81,89,81,86,83,76,88,83,81,76,82,90,51,86,88,85,88,86,77,87,"DEF",1679
"c22f9053-f560-430c-87e4-d342b4f4c036","c22f9053-f560-430c-87e4-d342b4f4c036.jpg","RD","Canada","HH","NHL","LAK",99.7,193,5,84,76,76,87,86,76,89,76,87,83,79,82,82,84,76,85,89,51,86,85,85,87,83,67,88,"DEF",1333
"1b12a095-8e1a-4e1d-9dba-6f498dbaa443","1b12a095-8e1a-4e1d-9dba-6f498dbaa443.jpg","LD","Sweden","CAP","NHL","MIN",88.8,188,3,82,81,75,81,81,73,83,75,83,86,85,84,81,86,86,80,87,51,86,86,79,79,76,62,83,"DEF",804
"76ec4553-eb56-45f0-864a-02c64378bbee","76ec4553-eb56-45f0-864a-02c64378bbee.jpg","LD","Canada","CAP","NHL","CGY",93.3,183,3,82,81,76,83,82,76,83,76,83,85,83,83,82,88,76,81,85,51,85,85,81,83,81,62,83,"DEF",978
"ada9aa15-8347-4519-b4d5-b7dca4787fd1","ada9aa15-8347-4519-b4d5-b7dca4787fd1.jpg","RD","Canada","HH","NHLAA","TBL",86.1,180,5,84,84,81,86,86,86,87,82,87,86,84,86,82,88,75,87,84,51,82,82,82,86,84,69,86,"DEF",361
"d22d22a6-2079-4255-bab7-51afd90a8d8e","d22d22a6-2079-4255-bab7-51afd90a8d8e.jpg","LD","USA","ROOK","NHL","VAN",81.5,178,5,84,90,85,90,90,78,82,82,81,91,90,79,84,91,81,90,89,53,78,87,77,76,83,57,78,"DEF",1286
"8319c346-60e4-485a-ae3a-3ea1705cfbb9","8319c346-60e4-485a-ae3a-3ea1705cfbb9.jpg","RD","Canada","CAP","NHL","LAK",95.1,185,6,85,85,81,86,86,86,90,82,88,88,87,86,84,87,78,85,87,53,86,88,83,83,83,67,86,"DEF",463
"e7866bcf-7539-49d4-b2ac-37c87931669f","e7866bcf-7539-49d4-b2ac-37c87931669f.jpg","LD","Finland","CAP","NHL","DAL",89.2,188,6,85,87,81,88,87,81,88,81,86,87,86,82,85,92,81,86,88,51,86,88,79,80,86,57,82,"DEF",1131
