"event","overall","nationalitys","leagues","teams","POS","Skater ID"
"ICON",86,"USA","NHLAA","CHI","DEF",380
"ICON",86,"Canada","NHLAA","STL","DEF",387
"HH",84,"Slovakia","NHLAA","BOS","DEF",2344
"HH",84,"Canada","NHL","LAK","DEF",1885
"CAP",82,"Sweden","NHL","MIN","DEF",1109
"CAP",82,"Canada","NHL","CGY","DEF",1375
"HH",84,"Canada","NHLAA","TBL","DEF",486
"ROOK",84,"USA","NHL","VAN","DEF",1824
"CAP",85,"Canada","NHL","LAK","DEF",611
"CAP",85,"Finland","NHL","DAL","DEF",1601
"CAP",82,"Germany","NHL","DET","DEF",1612
"CAP",82,"USA","NHL","NJD","DEF",1364
"XP",81,"Canada","NHL","SEA","DEF",2255
"XP",84,"Canada","NHL","SEA","DEF",2255
"XP",80,"Canada","NHL","SEA","DEF",2255
"XP",82,"Canada","NHL","SEA","DEF",2255
"XP",85,"Canada","NHL","SEA","DEF",2255
"XP",83,"Canada","NHL","SEA","DEF",2255
"XP",84,"Czechia","NHL","VAN","DEF",730
"XP",81,"Czechia","NHL","VAN","DEF",730
"XP",80,"Czechia","NHL","VAN","DEF",730
"XP",82,"Czechia","NHL","VAN","DEF",730
"XP",83,"Czechia","NHL","VAN","DEF",730
"XP",85,"Czechia","NHL","VAN","DEF",730
"ROOK",83,"USA","NHL","MTL","DEF",1278
"TOTW",82,"Canada","NHL","NSH","DEF",1172
"TOTW",82,"Canada","NHL","CBJ","DEF",477
"ICON",86,"Canada","NHLAA","EDM","DEF",1773
"TOTW",82,"Canada","NHL","MTL","DEF",144
"TOTW",82,"USA","NHL","TOR","DEF",249
"FANT",85,"Sweden","NHL","SJS","DEF",2157
"FANT",85,"USA","NHL","WPG","DEF",1633
"FANT",89,"Russia","NHL","CBJ","DEF",875
"FANT",83,"Sweden","NHL","SEA","DEF",26
"FANT",83,"USA","NHL","VGK ","DEF",1694
"FANT",89,"Canada","NHL","TOR","DEF",1611
"FANT",81,"Canada","NHL","MIN","DEF",972
"FANT",87,"Canada","NHL","BUF","DEF",229
"FANT",79,"Canada","NHL","PIT","DEF",1259
"FANT",77,"Canada","NHL","COL","DEF",574
"FANT",75,"USA","NHL","NSH","DEF",245
"TOTW",82,"Canada","NHL","CGY","DEF",2342
"TOTW",82,"Sweden","NHL","DET","DEF",2061
"TOTW",83,"Slovakia","NHL","NJD","DEF",2067
"TOTW",83,"Slovakia","NHL","WSH","DEF",1442
"HH",86,"Canada","NHL","OTT","DEF",386
"ROOK",86,"Canada","NHL","COL","DEF",328
"CAP",86,"USA","NHL","BOS","DEF",371
"CAP",86,"Switzerland","NHL","NSH","DEF",1908
"ICON",87,"Canada","NHLAA","CGY","DEF",40
"TOTW",83,"Sweden","NHL","DAL","DEF",1689
"TOTW",83,"Russia","NHL","SJS","DEF",585
"TOTW",83,"USA","NHL","PIT","DEF",1952
"TOTW",83,"Canada","NHL","OTT","DEF",1140
"TOTW",83,"USA","NHL","STL","DEF",1177
"TOTW",83,"USA","NHL","BUF","DEF",1512
"SOTM",86,"Canada","NHL","WPG","DEF",1156
"TOTW",83,"Belarus","NHL","CHI","DEF",154
"TOTW",83,"Russia","NHL","OTT","DEF",148
"NG",88,"Canada","WHL","EVT","DEF",1276
"NG",87,"Russia","NHL","CAR","DEF",77
"NG",87,"Canada","NHL","CGY","DEF",2342
"NG",87,"Canada","NHL","NYI","DEF",1503
"NG",85,"Slovakia","NHL","NJD","DEF",2067
"NG",85,"Canada","OHL","WSR","DEF",355
"NG",84,"USA","WHL","SC","DEF",802
"NG",83,"Canada","OHL","OTT","DEF",1253
"NG",83,"Canada","NHL","CBJ","DEF",567
"NG",82,"Canada","QMJHL","VIC","DEF",2070
"NG",82,"Canada","AHL","RFD","DEF",698
"NG",82,"Czechia","OHL","MIS","DEF",946
"NG",82,"Canada","WHL","REG","DEF",672
"NG",83,"Canada","QMJHL","CHA","DEF",1405
"NG",84,"Canada","QMJHL","BLB","DEF",2313
"NG",82,"Canada","QMJHL","RIM","DEF",706
"NG",83,"Czechia","OHL","HAM","DEF",24
"NG",84,"Canada","WHL","PG","DEF",351
"NG",82,"Czechia","NHL","MIN","DEF",537
"NG",85,"Canada","NHL","PIT","DEF",823
"TOTW",84,"Canada","NHL","CAR","DEF",2024
"TOTW",87,"Finland","NHL","DAL","DEF",1601
"NG",82,"Canada","WHL","MH","DEF",320
"NG",82,"Canada","QMJHL","CHI","DEF",58
"NG",83,"Canada","OHL","LDN","DEF",973
"NG",84,"Canada","WHL","VAN","DEF",1934
"NG",82,"Canada","AHL","SPR","DEF",1328
"NG",84,"Sweden","NHL","DET","DEF",2061
"NG",85,"Canada","NHL","SJS","DEF",1969
"NG",86,"Sweden","NHL","DET","DEF",173
"NG",87,"Austria","NHL","MTL","DEF",544
"NG",87,"USA","NHL","MIN","DEF",2346
"NG",84,"Canada","WHL","PA","DEF",549
"NG",85,"Sweden","NHL","CAR","DEF",1073
"NG",82,"Canada","OHL","BAR","DEF",1206
"NG",82,"Canada","WHL","EDM","DEF",701
"TOTW",84,"Sweden","NHL","TOR","DEF",1711
"TOTW",84,"Germany","NHL","DET","DEF",1612
"NG",82,"Sweden","NHL","VAN","DEF",650
"NG",83,"Belarus","NHL","CHI","DEF",154
"NG",84,"Switzerland","NHL","DAL","DEF",1308
"NG",84,"Canada","NHL","LAK","DEF",257
"NG",86,"Russia","NHL","ANA","DEF",1783
"COM",88,"Canada","NHL","MTL","DEF",1692
"COM",88,"USA","NHL","MTL","DEF",1278
"COM",86,"Canada","NHL","CAR","DEF",2024
"COM",85,"USA","NHL","CAR","DEF",2049
"COM",85,"Sweden","NHL","SJS","DEF",1091
"COM",85,"Canada","NHL","CGY","DEF",1375
"COM",84,"Canada","NHL","STL","DEF",2221
"COM",83,"USA","NHL","STL","DEF",1483
"COM",83,"Canada","NHL","CGY","DEF",924
"CAP",85,"Russia","NHL","SJS","DEF",585
"CAP",85,"USA","NHL","WPG","DEF",1633
"ROOK",88,"USA","NHLAA","BUF","DEF",1802
"HH",88,"Sweden","NHLAA","DET","DEF",1678
"ICON",89,"Canada","NHLAA","BOS","DEF",1845
"XP",84,"Sweden","NHL","DET","DEF",2061
"XP",85,"Sweden","NHL","DET","DEF",2061
"XP",86,"Sweden","NHL","DET","DEF",2061
"XP",87,"Sweden","NHL","DET","DEF",2061
"XP",88,"Sweden","NHL","DET","DEF",2061
"XP",89,"Sweden","NHL","DET","DEF",2061
"XP",84,"Canada","NHL","TOR","DEF",403
"XP",85,"Canada","NHL","TOR","DEF",403
"XP",86,"Canada","NHL","TOR","DEF",403
"XP",87,"Canada","NHL","TOR","DEF",403
"XP",88,"Canada","NHL","TOR","DEF",403
"XP",89,"Canada","NHL","TOR","DEF",403
"COM",84,"USA","NHL","NYI","DEF",2172
"COM",86,"Canada","NHL","NYI","DEF",31
"COM",83,"Canada","NHL","TOR","DEF",2059
"COM",85,"USA","NHL","TOR","DEF",934
"CAP",88,"Canada","PWHL","VAN","DEF",159
"TOTW",85,"Canada","NHL","MTL","DEF",1557
"TOTW",85,"USA","NHL","OTT","DEF",1646
"COM",88,"Czechia","NHL","VAN","DEF",730
"COM",88,"USA","NHL","VAN","DEF",1824
"COM",84,"Canada","NHL","CHI","DEF",1337
"COM",86,"USA","NHL","CHI","DEF",72
"COM",85,"Sweden","NHL","WSH","DEF",1844
"COM",84,"USA","NHL","UTA","DEF",1621
"COM",86,"USA","NHL","UTA","DEF",1095
"NG",89,"USA","NHL","MIN","DEF",305
"BA",78,"USA","NHL","ANA","DEF",917
"BA",75,"USA","NHL","ANA","DEF",612
"BA",81,"USA","NHL","ANA","DEF",905
"BA",82,"USA","NHL","BOS","DEF",371
"BA",79,"USA","NHL","BOS","DEF",1455
"BA",77,"USA","NHL","BOS","DEF",111
"BA",76,"USA","NHL","BOS","DEF",1136
"BA",75,"USA","NHL","BOS","DEF",1552
"FI",84,"USA","NHL","MIN","DEF",305
"BA",82,"USA","NHL","CAR","DEF",883
"BA",81,"USA","NHL","CAR","DEF",2049
"BA",79,"USA","NHL","CAR","DEF",1190
"BA",78,"USA","NHL","CAR","DEF",948
"BA",75,"USA","NHL","CAR","DEF",1588
"BA",80,"USA","NHL","CHI","DEF",72
"BA",79,"USA","NHL","CHI","DEF",450
