"reward_amount","reward_type","type1","key1","type2","key2"
1,"OVR","team","DAL","event","HH"
6,"SAL","team","DET","event","GM"
1,"OVR","event","COM","event","GM"
2,"OVR","event","GM","team","DAL"
5,"AP","event","GM","team","COL"
1,"OVR","event","ICON","team","NYR"
2,"OVR","team","CGY","event","SOTM"
1,"OVR","team","CGY","team","NYR"
2,"OVR","team","MIN","event","COM"
1,"OVR","team","VAN","event","COM"
1,"OVR","event","NG","nationality","CZECHIA"
10,"SAL","nationality","CZECHIA","team","VAN"
6,"SAL","team","CHI","team","CHI"
8,"AP","team","CHI","team","CHI"
10,"SAL","team","NYR","team","NYR"
1,"OVR","team","CAR","team","PIT"
1,"OVR","event","TOTW","event","SOTM"
1,"OVR","team","MIN","team","CGY"
1,"OVR","team","OTT","team","BUF"
1,"OVR","team","BOS","event","NG"
1,"OVR","team","VAN","nationality","FINLAND"
1,"OVR","event","ROOK","event","HH"
1,"OVR","team","COL","event","ICON"
1,"OVR","event","CAP","team","SJS"
1,"OVR","team","MIN","team","VAN"
1,"OVR","team","SEA","team","MTL"
6,"SAL","team","STL","team","STL"
6,"SAL","team","CGY","team","CGY"
6,"SAL","team","CAR","team","CAR"
10,"SAL","nationality","USA","nationality","CANADA"
15,"SAL","event","FANT","event","FANT"
5,"SAL","team","NSH","team","DAL"
6,"SAL","team","LAK","team","ANA"
5,"SAL","team","WSH","team","PHI"
5,"SAL","event","FANT","team","TOR"
10,"SAL","event","FANT","team","MTL"
5,"SAL","event","FANT","team","DET"
6,"SAL","event","TOTW","event","TOTW"
5,"SAL","team","NYR","team","NYI"
6,"SAL","team","TBL","event","HH"
5,"SAL","team","TBL","team","MTL"
5,"SAL","nationality","CZECHIA","team","VAN"
7,"SAL","team","STL","event","CAP"
7,"SAL","team","EVT","event","NG"
6,"SAL","team","NY","team","BOS"
6,"SAL","team","VAN","team","TOR"
6,"SAL","team","OTT","team","MIN"
6,"SAL","team","MTL","team","MTL"
2,"AP","event","COM","event","COM"
2,"AP","team","SEA","team","EDM"
2,"AP","team","WPG","team","CHI"
2,"AP","team","UTA","team","VGK"
2,"AP","team","CBJ","team","FLA"
2,"AP","event","XP","team","DET"
2,"AP","team","CAR","team","NJD"
4,"AP","team","MTL","team","BOS"
4,"AP","team","OTT","team","NY"
4,"AP","team","SEA","team","TOR"
4,"AP","team","MTL","team","OTT"
1,"OVR","team","STL","team","STL"
1,"OVR","team","CGY","team","CGY"
1,"OVR","team","MTL","team","MTL"
1,"OVR","event","NG","team","EVT"
1,"OVR","team","CAR","event","NG"
