reward_amount,reward_type,type1,key1,type2,key2,type3,key3
1,OVR,TEAM,BUF,TEAM,NJD,,
1,OVR,TEAM,CGY,TEAM,NYR,,
10,SAL,NATIONALITY,CZECHIA,TEAM,VAN,,
6,SAL,TEAM,CHI,TEAM,CHI,,
8,AP,TEAM,CHI,TEAM,CHI,,
10,SAL,TEAM,NYR,TEAM,NYR,,
1,OVR,TEAM,CAR,TEAM,PIT,,
1,OVR,TEAM,MIN,TEAM,CGY,,
1,OVR,TEAM,OTT,TEAM,BUF,,
1,OVR,TEAM,VAN,NATIONALITY,FINLAND,,
1,OVR,TEAM,MIN331544320,TEAM,VAN1737906214,,
1,OVR,TEAM,SEA1450460351,TEAM,MTL933335877,,
6,SAL,TEAM,STL,TEAM,STL,,
6,SAL,TEAM,CGY,TEAM,CGY,,
6,SAL,TEAM,CAR,TEAM,CAR,,
10,SAL,NATIONALITY,USA,NATIONALITY,CANADA,,
5,SAL,TEAM,NSH,TEAM,DAL,,
6,SAL,TEAM,LAK,TEAM,ANA,,
5,SAL,TEAM,WSH,TEAM,PHI,,
5,SAL,TEAM,NYR,TEAM,NYI,,
5,SAL,TEAM,TBL1445825681,TEAM,MTL,,
5,SAL,NATIONALITY,CZECHIA,TEAM,VAN,,
6,SAL,TEAM,NY1593607409,TEAM,BOS1675369414,,
6,SAL,TEAM,VAN1737906214,TEAM,TOR1508148519,,
6,SAL,TEAM,OTT594377757,TEAM,MIN331544320,,
6,SAL,TEAM,MTL,TEAM,MTL933335877,,
2,AP,TEAM,SEA,TEAM,EDM,,
2,AP,TEAM,WPG,TEAM,CHI,,
2,AP,TEAM,UTA,TEAM,VGK,,
2,AP,TEAM,CBJ,TEAM,FLA,,
2,AP,TEAM,CAR,TEAM,NJD,,
4,AP,TEAM,MTL933335877,TEAM,BOS1675369414,,
4,AP,TEAM,OTT594377757,TEAM,NY1593607409,,
4,AP,TEAM,SEA1450460351,TEAM,TOR1508148519,,
4,AP,TEAM,MTL,TEAM,OTT594377757,,
1,OVR,TEAM,STL,TEAM,STL,,
1,OVR,TEAM,CGY,TEAM,CGY,,
1,OVR,TEAM,MTL,TEAM,MTL,,
