reward_amount,reward_type,type1,key1,type2,key2
2,OVR,team,NJD,event,ROOK1417005474
2,OVR,team,BUF,event,GM1452322051
1,OVR,team,BUF,team,NJD
7,AP,team,FLA,event,GM1452322051
7,AP,event,GM1452322051,team,TBL1445825681
1,OVR,team,DET,event,ICON1839666300
1,OVR,event,HH53168636,team,DET
1,OVR,team,DAL,event,HH53168636
6,AP,team,DET,event,GM1452322051
1,OVR,event,COM221123347,event,GM1452322051
2,OVR,event,GM1452322051,team,DAL
5,AP,event,GM1452322051,team,COL
1,OVR,event,ICON1839666300,team,NYR
2,OVR,team,CGY,event,SOTM1890082452
1,OVR,team,CGY,team,NYR
2,OVR,team,MIN,event,COM221123347
1,OVR,team,VAN,event,COM221123347
6,AP,team,CHI,team,CHI
8,AP,team,CHI,team,CHI
10,AP,team,NYR,team,NYR
1,OVR,team,CAR,team,PIT
1,OVR,event,TOTW1700000371,event,SOTM1890082452
1,OVR,team,MIN,team,CGY
1,OVR,team,OTT,team,BUF
1,OVR,team,BOS,event,NG1335151415
1,OVR,event,ROOK1417005474,event,HH53168636
1,OVR,team,COL,event,ICON1839666300
1,OVR,event,CAP547305595,team,SJS
1,OVR,team,MIN331544320,team,VAN1737906214
1,OVR,team,SEA1450460351,team,MTL933335877
6,AP,team,STL,team,STL
6,AP,team,CGY,team,CGY
6,AP,team,CAR,team,CAR
15,AP,event,FANT1310536400,event,FANT1310536400
5,AP,team,NSH,team,DAL
6,AP,team,LAK,team,ANA
5,AP,team,WSH,team,PHI
5,AP,event,FANT1310536400,team,TOR
10,AP,event,FANT1310536400,team,MTL
5,AP,event,FANT1310536400,team,DET
6,AP,event,TOTW1700000371,event,TOTW1700000371
5,AP,team,NYR,team,NYI
6,AP,team,TBL1445825681,event,HH53168636
5,AP,team,TBL1445825681,team,MTL
7,AP,team,STL,event,CAP547305595
7,AP,team,EVT1602730420,event,NG1335151415
6,AP,team,NY1593607409,team,BOS1675369414
6,AP,team,VAN1737906214,team,TOR1508148519
6,AP,team,OTT594377757,team,MIN331544320
6,AP,team,MTL,team,MTL933335877
2,AP,event,COM221123347,event,COM221123347
2,AP,team,SEA,team,EDM
2,AP,team,WPG,team,CHI
2,AP,team,UTA,team,VGK
2,AP,team,CBJ,team,FLA
2,AP,event,XP611618000,team,DET
2,AP,team,CAR,team,NJD
4,AP,team,MTL933335877,team,BOS1675369414
4,AP,team,OTT594377757,team,NY1593607409
4,AP,team,SEA1450460351,team,TOR1508148519
4,AP,team,MTL,team,OTT594377757
1,OVR,team,STL,team,STL
1,OVR,team,CGY,team,CGY
1,OVR,team,MTL,team,MTL
1,OVR,event,NG1335151415,team,EVT1602730420
1,OVR,team,CAR,event,NG1335151415
