reward_amount,reward_type,type1,key1,type2,key2,type3,key3
2,OVR,TEAM,NJD,CARD,ROOK1417005474,,
2,OVR,TEAM,BUF,CARD,GM1452322051,,
1,OVR,TEAM,BUF,TEAM,NJD,,
7,SAL,TEAM,FLA,CARD,GM1452322051,,
7,SAL,CARD,GM1452322051,TEAM,TBL1445825681,,
1,OVR,TEAM,DET,CARD,ICON1839666300,,
1,OVR,CARD,HH53168636,TEAM,DET,,
1,OVR,TEAM,DAL,CARD,HH53168636,,
6,SAL,TEAM,DET,CARD,GM1452322051,,
1,OVR,CARD,COM221123347,CARD,GM1452322051,,
2,OVR,CARD,GM1452322051,TEAM,DAL,,
5,AP,CARD,GM1452322051,TEAM,COL,,
1,OVR,CARD,ICON1839666300,TEAM,NYR,,
2,OVR,TEAM,CGY,CARD,SOTM1890082452,,
1,OVR,TEAM,CGY,TEAM,NYR,,
2,OVR,TEAM,MIN,CARD,COM221123347,,
1,OVR,TEAM,VAN,CARD,COM221123347,,
1,OVR,CARD,NG1335151415,NATIONALITY,CZECHIA,,
10,SAL,NATIONALITY,CZECHIA,TEAM,VAN,,
6,SAL,TEAM,CHI,TEAM,CHI,,
8,AP,TEAM,CHI,TEAM,CHI,,
10,SAL,TEAM,NYR,TEAM,NYR,,
1,OVR,TEAM,CAR,TEAM,PIT,,
1,OVR,CARD,TOTW1700000371,CARD,SOTM1890082452,,
1,OVR,TEAM,MIN,TEAM,CGY,,
1,OVR,TEAM,OTT,TEAM,BUF,,
1,OVR,TEAM,BOS,CARD,NG1335151415,,
1,OVR,TEAM,VAN,NATIONALITY,FINLAND,,
1,OVR,CARD,ROOK1417005474,CARD,HH53168636,,
1,OVR,TEAM,COL,CARD,ICON1839666300,,
1,OVR,CARD,CAP547305595,TEAM,SJS,,
1,OVR,TEAM,MIN331544320,TEAM,VAN1737906214,,
1,OVR,TEAM,SEA1450460351,TEAM,MTL933335877,,
6,SAL,TEAM,STL,TEAM,STL,,
6,SAL,TEAM,CGY,TEAM,CGY,,
6,SAL,TEAM,CAR,TEAM,CAR,,
10,SAL,NATIONALITY,USA,NATIONALITY,CANADA,,
15,SAL,CARD,FANT1310536400,CARD,FANT1310536400,,
5,SAL,TEAM,NSH,TEAM,DAL,,
6,SAL,TEAM,LAK,TEAM,ANA,,
5,SAL,TEAM,WSH,TEAM,PHI,,
5,SAL,CARD,FANT1310536400,TEAM,TOR,,
10,SAL,CARD,FANT1310536400,TEAM,MTL,,
5,SAL,CARD,FANT1310536400,TEAM,DET,,
6,SAL,CARD,TOTW1700000371,CARD,TOTW1700000371,,
5,SAL,TEAM,NYR,TEAM,NYI,,
6,SAL,TEAM,TBL1445825681,CARD,HH53168636,,
5,SAL,TEAM,TBL1445825681,TEAM,MTL,,
5,SAL,NATIONALITY,CZECHIA,TEAM,VAN,,
7,SAL,TEAM,STL,CARD,CAP547305595,,
7,SAL,TEAM,EVT1602730420,CARD,NG1335151415,,
6,SAL,TEAM,NY1593607409,TEAM,BOS1675369414,,
6,SAL,TEAM,VAN1737906214,TEAM,TOR1508148519,,
6,SAL,TEAM,OTT594377757,TEAM,MIN331544320,,
6,SAL,TEAM,MTL,TEAM,MTL933335877,,
2,AP,CARD,COM221123347,CARD,COM221123347,,
2,AP,TEAM,SEA,TEAM,EDM,,
2,AP,TEAM,WPG,TEAM,CHI,,
2,AP,TEAM,UTA,TEAM,VGK,,
2,AP,TEAM,CBJ,TEAM,FLA,,
2,AP,CARD,XP611618000,TEAM,DET,,
2,AP,TEAM,CAR,TEAM,NJD,,
4,AP,TEAM,MTL933335877,TEAM,BOS1675369414,,
4,AP,TEAM,OTT594377757,TEAM,NY1593607409,,
4,AP,TEAM,SEA1450460351,TEAM,TOR1508148519,,
4,AP,TEAM,MTL,TEAM,OTT594377757,,
1,OVR,TEAM,STL,TEAM,STL,,
1,OVR,TEAM,CGY,TEAM,CGY,,
1,OVR,TEAM,MTL,TEAM,MTL,,
1,OVR,CARD,NG1335151415,TEAM,EVT1602730420,,
1,OVR,TEAM,CAR,CARD,NG1335151415,,
