"First name","Second name","player_id"
"ABBEY","LEVY",0
"ADAM","AHMAN",1
"ADIN","HILL",2
"AERIN","FRANKEL",3
"AKIRA","SCHMID",4
"ALAIN","CHEVRIER",5
"ALEKSEI","KOLOSOV",6
"ALEX","LYON",7
"ALEX","NEDELJKOVIC",8
"ALEXANDAR","GEORGIEV",9
"ANDREI","VASILEVSKIY",10
"ANDREW","HAMMOND",11
"ANDREW","RAYCROFT",12
"ANDY","MOOG",13
"ANN-RENEE","DESBIENS",14
"ANTHONY","STOLARZ",15
"ANTON","FORSBERG",16
"ARTUR","AKHTYAMOV",17
"ARTURS","SILOVS",18
"ARVID","HOLM",19
"ARVID","SODERBLOM",20
"ARVID","SÖDERBLOM",21
"BEN","KRAWS",22
"BENJAMIN","GAUDREAU",23
"BERNIE","PARENT",24
"BILL","RANFORD",25
"BILLY","SMITH",26
"BRANDON","BUSSI",27
"BRANDON","HALVERSON",28
"BRIAN","HAYWARD",29
"BYRON","DAFOE",30
"CAL","PETERSEN",31
"CALLE","CLANG",32
"CALVIN","PICKARD",33
"CAM","TALBOT",34
"CAM","WARD",35
"CAREY","PRICE",36
"CARL","LINDBOM",37
"CARLY","JACKSON",38
"CASEY","DESMITH",39
"CAYDEN","PRIMEAU",40
"CHARLIE","LINDGREN",41
"CHICO","RESCH",42
"CHRIS","MASON",43
"CHRIS","OSGOOD",44
"CHRIS","TERRERI",45
"CHRISTOFFER","RIFALK",46
"CLAY","STEVENSON",47
"CLINT","MALARCHUK",48
"COLLIN","DELIA",49
"COLTEN","ELLIS",50
"CONNOR","HELLEBUYCK",51
"CONNOR","INGRAM",52
"CONNOR","MURPHY",53
"CONNOR","UNGAR",54
"COOPER","BLACK",55
"COREY","SCHWAB",56
"CORINNE","SCHROEDER",57
"CRAIG","ANDERSON",58
"CURTIS","JOSEPH",59
"DAN","BOUCHARD",60
"DAN","VLADAR",61
"DANIEL","MARMENLIND",62
"DANIIL","TARASOV",63
"DARCY","KUEMPER",64
"DARREN","PANG",65
"DARRIN","MADELEY",66
"DAVE","DRYDEN",67
"DAVID","AEBISCHER",68
"DAVID","RITTICH",69
"DENIS","HERRON",70
"DENNIS","HILDEBY",71
"DEVIN","COOLEY",72
"DEVON","LEVI",73
"DOMENIC","DIVINCENTIS",74
"DOMINIK","HASEK",75
"DON","EDWARDS",76
"DOUGLAS","SOETAERT",77
"DREW","COMMESSO",78
"DUSTIN","WOLF",79
"DWAYNE","ROLOSON",80
"DYLAN","GARAND",81
"DYLAN","WELLS",82
"ED","BELFOUR",83
"EDDIE","GIACOMIN",84
"EDDIE","JOHNSTON",85
"ELAINE","CHULI",86
"ELVIS","MERZLIKINS",87
"EMERANCE","MASCHMEYER",88
"EMIL","LARMI",89
"ERIC","COMRIE",90
"ERIK","KALLGREN",91
"ERIK","PORTILLO",92
"ETHAN","HAIDER",93
"EVGENI","NABOKOV",94
"FELIX","POTVIN",95
"FELIX","SANDSTROM",96
"FILIP","GUSTAVSSON",97
"FILIP","LARSSON",98
"FREDERIK","ANDERSEN",99
"FREDERIK","DICHOW",100
"GABRIEL","CARRIERE",101
"GARY","SMITH",102
"GERRY","CHEEVERS",103
"GILLES","MELOCHE",104
"GILLES","VILLEMURE",105
"GLENN","HALL",106
"GLENN","HEALY",107
"GRANT","FUHR",108
"GREG","MILLEN",109
"GUSTAF","LINDVALL",110
"GUY","HEBERT",111
"GWYNETH","PHILIPS",112
"HENRIK","LUNDQVIST",113
"HENRIK","TIKKANEN",114
"HUGO","ALNEFELT",115
"HUGO","HAVELID",116
"HUNTER","JONES",117
"HUNTER","SHEPARD",118
"HUNTER","VORVA",119
"IGOR","SHESTERKIN",120
"ILYA","BRYZGALOV",121
"ILYA","SOROKIN",122
"ISAAC","POULTER",123
"IVAN","FEDOTOV",124
"IVAN","PROSVETOV",125
"JACK","CAMPEBELL",126
"JACOB","JOHANSSON",127
"JACOB","MARKSTROM",128
"JACQUES","PLANTE",129
"JAKE","ALLEN",130
"JAKE","OETTINGER",131
"JAKOB","HELLSTEN",132
"JAKUB","DOBES",133
"JAKUB","SKAREK",134
"JAMIE","MCLENNAN",135
"JASON","LABARBERA",136
"JASON","MUZZATTI",137
"JAXSON","STAUBER",138
"JEAN-SEBASTIEN","GIGUERE",139
"JEREMY","SWAYMAN",140
"JESPER","MYRENBERG",141
"JESPER","VIKMAN",142
"JESPER","WALLSTEDT",143
"JET","GREAVES",144
"JHONAS","ENROTH",145
"JIMMY","HOWARD",146
"JIRI","PATERA",147
"JOCELYN","THIBAULT",148
"JOEL","BLOMQVIST",149
"JOEL","HOFER",150
"JOEL","LASSINANTTI",151
"JOEY","DACCORD",152
"JOHAN","HEDBERG",153
"JOHN","DAVIDSON",154
"JOHN","GARRETT",155
"JOHN","GIBSON",156
"JOHN","GRAHAME",157
"JOHNNY","BOWER",158
"JONAS","ARNTZEN",159
"JONAS","JOHANSSON",160
"JONATHAN","QUICK",161
"JOONAS","KORPISALO",162
"JORDAN","BINNINGTON",163
"JORDAN","PAPIRNY",164
"JOSEPH","WOLL",165
"JUSTUS","ANNUNEN",166
"JUUSE","SAROS",167
"KAAPO","KAHKONEN",168
"KAREL","VEJMELKA",169
"KAYLE","OSBORNE",170
"KELLY","HRUDEY",171
"KEN","APPLEBY",172
"KEN","WREGGET",173
"KEVIN","LANKINEN",174
"KEVIN","WEEKES",175
"KIRK","MCLEAN",176
"KRISTEN","CAMPBELL",177
"KRISTERS","GUDLEVSKIS",178
"KYLE","KEYSER",179
"LARS","JOHANSSON",180
"LASSI","LEHTINEN",181
"LAURENT","BROSSOIT",182
"LEEVI","MERILAINEN",183
"LINUS","SODERSTROM",184
"LINUS","ULLMARK",185
"LOGAN","ANGERS",186
"LOGAN","THOMPSON",187
"LOUIS-ANTOINE","DENAULT",188
"LUCA","HOLLENSTEIN",189
"LUDVIG","PERSSON",190
"LUKAS","DOSTAL",191
"LUKE","CAVALLIN",192
"MACKENZIE","BLACKWOOD",193
"MADDIE","ROONEY",194
"MADS","SOGAARD",195
"MAGNUS","CHRONA",196
"MAGNUS","HELLBERG",197
"MANTAS","ARMALIS",198
"MARC","DENIS",199
"MARCUS","GIDLOF",200
"MARCUS","HOGBERG",201
"MAREK","LANGHAMER",202
"MARK","FITZPATRICK",203
"MARTIN","BIRON",204
"MARTIN","BRODEUR",205
"MARTY","TURCO",206
"MATHIEU","GARON",207
"MATT","MURRAY",208
"MATT","TOMKINS",209
"MATTEUS","WARD",210
"MATTHEW","VILLALTA",211
"MELKER","THELIN",212
"MICHAEL","DIPIETRO",213
"MICHAEL","LIUT",214
"MICHAEL","PALMATEER",215
"MICHAEL","SIMPSON",216
"MIKE","RICHTER",217
"MIKE","VERNON",218
"MITCHELL","GIBSON",219
"MITCHELL","WEEKS",220
"NICO","DAWS",221
"NICOLE","HENSLEY",222
"NIKITA","TOLOPILO",223
"NIKLAS","BACKSTROM",224
"NIKLAS","KOKKO",225
"NIKO","HOVINEN",226
"OLAF","KOLZIG",227
"PARKER","GAHAGEN",228
"PATRICK","ROY",229
"PAUL","HARRISON",230
"PEKKA","RINNE",231
"PETE","LOPRESTI",232
"PETER","BUDAJ",233
"PETR","MRAZEK",234
"PHEONIX","COPLEY",235
"PHILIPP","GRUBAUER",236
"PYOTR","KOCHETKOV",237
"RAYGAN","KIRK",238
"REGGIE","LEMELIN",239
"REMI","POIRIER",240
"RICHARD","BRODEUR",241
"RICK","DIPIETRO",242
"RICK","WAMSLEY",243
"ROBERT","SAUVE",244
"ROBERTO","LUONGO",245
"ROBIN","CHRISTOFFERSSON",246
"ROGIE","VACHON",247
"RON","HEXTALL",248
"RON","LOW",249
"RUSLAN","KHAZHEYEV",250
"RYAN","FANTI",251
"RYAN","MILLER",252
"SAMUEL","ERSSON",253
"SAMUEL","HLAVAJ",254
