card,nationality,team,division,salary,position,hand,weight_lb,height_in,name,overall,aOVR,acceleration,agility,balance,endurance,speed,slap_shot_accuracy,slap_shot_power,wrist_shot_accuracy,wrist_shot_power,deking,offensive_awareness,hand_eye,passing,puck_control,body_checking,strength,aggression,durability,fighting_skill,defensive_awareness,shot_blocking,stick_checking,faceoffs,discipline,card_api_id
BA,Canada,FLA,Atlantic,$0.6M,RW,LEFT,209.0,75,A.J. GREER,76,76.20,80,76,81,76,80,71,81,73,81,72,71,73,72,71,81,81,81,78,72,72,74,77,58,53,1265
ALUM,USA,NJD,,$1.0M,C,LEFT,180.0,70,AARON BROTEN,80,79.90,82,80,81,80,82,77,80,77,80,80,80,79,81,81,79,81,77,65,71,82,80,79,85,60,2050
BA,Canada,FLA,Atlantic,$1.0M,RD,RIGHT,220.0,76,AARON EKBLAD,80,80.25,83,79,81,78,83,75,84,76,84,77,79,74,81,81,80,81,80,78,67,81,83,85,48,73,1255
MARQ,Canada,FLA,Atlantic,$6.0M,RD,RIGHT,220.0,76,AARON EKBLAD,85,85.50,86,85,86,83,87,83,89,83,89,82,84,79,86,86,85,86,85,83,67,87,88,91,53,78,2695
COM,Canada,FLA,Atlantic,$8.0M,RD,RIGHT,220.0,76,AARON EKBLAD,87,87.05,88,86,88,85,88,82,91,83,91,84,86,81,88,88,87,88,87,85,74,88,90,92,55,80,4567
BA,USA,HER,,$0.6M,LD,LEFT,188.0,70,AARON NESS,76,75.95,83,79,79,76,83,66,81,67,81,76,69,70,74,71,77,79,78,76,68,72,79,79,56,81,2938
ALUM,Canada,CAR,,$0.9M,RD,RIGHT,209.0,74,AARON WARD,79,78.80,79,75,82,77,82,77,81,76,82,73,78,75,76,76,81,82,81,71,78,82,81,80,46,66,1795
BA,Finland,ONT,,$0.6M,RW,LEFT,154.0,73,AATU JAMSEN,76,76.10,87,83,75,75,87,73,83,76,83,75,75,73,72,72,71,76,71,86,61,73,66,76,66,81,3047
BA,Finland,VAN,Pacific,$0.5M,C,LEFT,190.0,74,AATU RATY,75,74.85,82,79,73,71,82,73,79,74,78,75,79,75,77,77,65,78,65,80,52,74,62,79,62,80,1639
NG,Finland,VAN,Pacific,$4.0M,C,LEFT,204.0,74,AATU RATY,83,82.45,86,87,81,79,86,81,87,82,86,83,87,83,85,85,73,86,73,88,60,82,70,87,70,88,4197
TOTW,Finland,VAN,Pacific,$7.0M,C,LEFT,204.0,74,AATU RATY,86,86.55,88,90,84,82,88,84,90,85,89,86,90,86,88,88,83,89,83,91,83,85,83,90,87,91,4643
BA,USA,VAN,,$0.7M,RW,RIGHT,130.0,68,ABBY BOREEN,77,77.55,85,77,79,76,82,73,75,75,73,79,81,82,79,75,79,76,80,78,43,79,71,75,78,81,2406
MARQ,USA,VAN,,$6.0M,RW,RIGHT,130.0,68,ABBY BOREEN,85,85.60,93,85,87,84,90,81,83,83,81,87,89,90,87,83,87,84,88,86,51,87,80,83,86,89,4329
BA,USA,MTL,,$1.0M,RW,RIGHT,181.0,67,ABBY ROQUE,80,80.55,85,80,81,80,83,80,77,81,75,83,83,82,81,78,82,80,83,80,42,83,77,77,84,77,2339
BA,Canada,BRI,,$0.7M,LW,LEFT,182.0,74,ADAM BECKMAN,77,76.90,85,81,79,74,85,73,83,74,82,81,75,73,73,74,71,81,74,81,61,73,69,78,61,79,2801
NG,Czechia,HAM,,$6.0M,C,LEFT,170.0,68,ADAM BENAK,85,85.60,88,91,86,86,87,86,93,87,92,87,85,82,84,82,77,85,82,93,72,83,82,87,86,92,4160
BA,Sweden,NYI,Metropolitan,$0.7M,RD,RIGHT,191.0,72,ADAM BOQVIST,77,77.65,83,82,75,81,83,75,80,75,80,80,77,75,79,79,74,76,72,77,52,75,76,76,47,82,1400
ALUM,USA,SJS,,$0.5M,RW,RIGHT,195.0,73,ADAM BURISH,75,76.10,80,74,79,76,80,71,81,72,78,72,72,72,72,72,82,79,83,71,76,74,79,74,74,59,2170
BEM,USA,SJS,Pacific,$7.0M,RW,RIGHT,195.0,73,ADAM BURISH,86,86.80,88,85,90,87,88,82,92,83,89,83,83,83,83,83,93,90,94,82,87,85,90,85,85,70,3981
BA,Sweden,NYR,Metropolitan,$0.5M,C,LEFT,234.0,79,ADAM EDSTRÖM,75,74.70,80,75,82,71,80,68,81,69,81,69,69,69,69,69,82,83,82,79,62,69,68,78,75,69,1426
BA,Sweden,LAV,,$0.6M,LD,LEFT,193.0,74,ADAM ENGSTROM,76,76.25,86,82,77,75,86,65,86,67,85,70,71,68,71,70,77,80,77,85,70,77,77,78,50,80,2975
BA,Canada,CBJ,Metropolitan,$3.0M,C,LEFT,199.0,74,ADAM FANTILLI,82,82.15,88,81,84,80,86,82,84,82,84,82,83,82,83,83,79,86,81,81,62,78,71,84,78,73,1166
NG,Canada,CBJ,Metropolitan,$7.0M,C,LEFT,205.0,74,ADAM FANTILLI,86,85.95,89,85,88,84,89,86,88,86,88,86,87,86,87,87,83,90,85,85,66,82,75,88,82,77,4258
ALUM,Canada,COL,,$3.0M,RD,RIGHT,220.0,74,ADAM FOOTE,82,81.40,85,83,83,80,83,75,87,75,83,77,76,76,80,79,84,83,80,83,67,87,87,85,50,79,1828
HUTC,Canada,COL,,$8.0M,RD,RIGHT,220.0,74,ADAM FOOTE,87,87.00,87,89,89,86,85,81,93,81,89,83,82,82,86,85,90,89,86,89,73,93,93,91,56,85,4284
BA,USA,NYR,Metropolitan,$5.0M,RD,RIGHT,180.0,71,ADAM FOX,84,84.65,87,90,81,84,88,82,85,83,84,90,91,82,92,81,79,80,78,81,62,85,84,87,51,81,1410
MARQ,USA,NYR,Metropolitan,$6.0M,RD,RIGHT,180.0,71,ADAM FOX,85,85.75,87,92,82,85,88,84,86,84,85,91,92,83,93,82,80,81,79,82,62,86,85,90,52,82,3413
SOTM,USA,NYR,Metropolitan,$9.0M,RD,RIGHT,185.0,71,ADAM FOX,88,88.45,89,94,85,88,90,86,89,87,88,94,95,86,96,85,83,84,82,85,66,89,88,91,55,85,4576
BA,USA,SJS,Pacific,$0.6M,C,RIGHT,187.0,73,ADAM GAUDETTE,76,76.70,79,75,78,79,79,71,79,72,79,78,78,77,78,77,74,79,76,77,62,76,72,78,74,75,1508
BEM,USA,SJS,Pacific,$2.0M,C,RIGHT,190.0,73,ADAM GAUDETTE,81,81.40,81,80,83,84,81,76,84,77,84,83,83,82,83,82,79,84,81,82,67,81,77,83,79,80,3950
BA,Sweden,LV,,$0.6M,LD,LEFT,196.0,75,ADAM GINNING,76,75.95,80,77,84,76,81,63,83,64,83,71,66,68,72,69,82,84,84,81,71,71,82,79,59,66,2997
ALUM,Canada,NYR,,$2.0M,LW,LEFT,205.0,72,ADAM GRAVES,81,80.95,82,83,83,81,84,81,82,80,83,80,80,79,80,78,82,84,79,79,67,79,78,81,74,77,2081
ALUM,USA,NSH,,$0.7M,RW,RIGHT,212.0,74,ADAM HALL,77,77.35,80,76,80,76,81,74,80,75,79,76,75,76,76,74,79,80,79,79,76,77,80,74,64,76,2041
BA,Canada,EDM,Pacific,$0.9M,C,LEFT,195.0,72,ADAM HENRIQUE,79,79.40,82,79,80,79,83,79,81,79,81,78,76,85,78,78,78,80,78,79,62,77,77,80,84,79,1234
MARQ,Canada,EDM,Pacific,$2.0M,C,LEFT,195.0,72,ADAM HENRIQUE,81,82.20,83,82,83,82,84,82,84,82,84,81,79,88,81,81,81,83,81,82,65,80,80,83,87,82,2687
MILE,Canada,NJD,Metropolitan,$7.0M,C,LEFT,195.0,72,ADAM HENRIQUE,86,87.10,87,87,88,87,88,87,89,87,89,86,84,93,86,86,86,88,86,87,70,85,85,88,92,87,4061
MILE,Canada,ANA,Pacific,$7.0M,C,LEFT,195.0,72,ADAM HENRIQUE,86,87.10,87,87,88,87,88,87,89,87,89,86,84,93,86,86,86,88,86,87,70,85,85,88,92,87,4071
MILE,Canada,EDM,Pacific,$7.0M,C,LEFT,195.0,72,ADAM HENRIQUE,86,87.10,87,87,88,87,88,87,89,87,89,86,84,93,86,86,86,88,86,87,70,85,85,88,92,87,4073
BA,Sweden,LHC,,$0.6M,C,LEFT,198.0,75,ADAM HOFBAUER,76,76.05,88,84,74,75,88,71,86,70,86,72,73,71,71,71,72,79,74,89,66,74,67,75,81,79,3483
NG,Czechia,HAM,,$4.0M,RD,RIGHT,178.0,75,ADAM JIRICEK,83,83.35,87,86,83,83,86,83,87,84,87,81,83,81,87,80,79,83,80,85,73,84,81,82,65,80,4190
