card,nationality,team,division,salary,position,hand,weight_lb,height_in,name,overall,aOVR,acceleration,agility,balance,endurance,speed,slap_shot_accuracy,slap_shot_power,wrist_shot_accuracy,wrist_shot_power,deking,offensive_awareness,hand_eye,passing,puck_control,body_checking,strength,aggression,durability,fighting_skill,defensive_awareness,shot_blocking,stick_checking,faceoffs,discipline,card_api_id,player_group_id,other_card_ids
BA,Canada,FLA,Atlantic,$0.6M,RW,LEFT,209.0,75,A.J. GREER,76,76.20,80,76,81,76,80,71,81,73,81,72,71,73,72,71,81,81,81,78,72,72,74,77,58,53,1265,G1,
ALUM,USA,NJD,,$1.0M,C,LEFT,180.0,70,AARON BROTEN,80,79.90,82,80,81,80,82,77,80,77,80,80,80,79,81,81,79,81,77,65,71,82,80,79,85,60,2050,G2,
BA,Canada,FLA,Atlantic,$1.0M,RD,RIGHT,220.0,76,AARON EKBLAD,80,80.25,83,79,81,78,83,75,84,76,84,77,79,74,81,81,80,81,80,78,67,81,83,85,48,73,1255,G3,"2695,4567"
MARQ,Canada,FLA,Atlantic,$6.0M,RD,RIGHT,220.0,76,AARON EKBLAD,85,85.50,86,85,86,83,87,83,89,83,89,82,84,79,86,86,85,86,85,83,67,87,88,91,53,78,2695,G3,"1255,4567"
COM,Canada,FLA,Atlantic,$8.0M,RD,RIGHT,220.0,76,AARON EKBLAD,87,87.05,88,86,88,85,88,82,91,83,91,84,86,81,88,88,87,88,87,85,74,88,90,92,55,80,4567,G3,"1255,2695"
BA,USA,HER,,$0.6M,LD,LEFT,188.0,70,AARON NESS,76,75.95,83,79,79,76,83,66,81,67,81,76,69,70,74,71,77,79,78,76,68,72,79,79,56,81,2938,G4,
ALUM,Canada,CAR,,$0.9M,RD,RIGHT,209.0,74,AARON WARD,79,78.80,79,75,82,77,82,77,81,76,82,73,78,75,76,76,81,82,81,71,78,82,81,80,46,66,1795,G5,
BA,Finland,ONT,,$0.6M,RW,LEFT,154.0,73,AATU JAMSEN,76,76.10,87,83,75,75,87,73,83,76,83,75,75,73,72,72,71,76,71,86,61,73,66,76,66,81,3047,G6,
BA,Finland,VAN,Pacific,$0.5M,C,LEFT,190.0,74,AATU RATY,75,74.85,82,79,73,71,82,73,79,74,78,75,79,75,77,77,65,78,65,80,52,74,62,79,62,80,1639,G7,
NG,Finland,VAN,Pacific,$4.0M,C,LEFT,204.0,74,AATU RATY,83,82.45,86,87,81,79,86,81,87,82,86,83,87,83,85,85,73,86,73,88,60,82,70,87,70,88,4197,G8,4643
